Date,Heure début,Heure fin,Phase (cadrage/terrain/analyse/rapport),Activité,Participants,Résultat / décisions,Preuves collectées (IDs),Actions à suivre,Responsable,Échéance,Statut
2025-12-02,09:00,10:30,cadrage,Réunion de lancement + validation périmètre,Direction; Référent SI; Équipe audit,Périmètre validé + interlocuteurs désignés (Direction/Référent SI),P-001,Envoyer liste documents demandés + planning,Chef d’équipe,2025-12-03,Clôturé
2025-12-03,14:00,16:00,cadrage,Revue documentaire initiale (politiques/process),Équipe audit,Manques identifiés (incident, registre RGPD, revues droits),P-006,Demander compléments + plan d’entretiens,Collecte preuves,2025-12-05,Clôturé
2025-12-05,10:00,11:00,cadrage,Revue sauvegardes (plan + périmètre),Prestataire IT; Équipe audit,Stratégie décrite; besoin preuve test restauration,P-022,Planifier collecte logs + PV test,Expert technique,2025-12-15,Clôturé
2025-12-06,15:00,16:30,cadrage,Revue contrats/DPA + HDS (documentaire),Direction; Équipe audit,Documents centralisés partiellement; actions de complétude,|P-029;P-030|,Lister clauses manquantes + plan d’action,Analyste conformité,2025-12-20,Clôturé
2025-12-08,09:30,11:30,terrain,M365 : MFA, comptes admin, rapports connexions,Expert technique; Équipe audit,Exports réalisés; écarts potentiels identifiés,|P-002;P-003;P-004;P-005|,Préparer constat accès/MFA si besoin,Risques,2025-12-22,Clôturé
2025-12-11,14:00,16:00,terrain,MedSimple : rôles, paramètres, logs,Responsable applicatif; Équipe audit,Rôles exportés; logs partiels; points à confirmer,|P-008;P-009;P-010;P-011|,Valider rétention logs + moindre privilège,Expert technique,2025-12-18,Clôturé
2025-12-12,09:00,11:00,terrain,Observations postes (accueil/direction),Référent SI; Équipe audit,Captures update/BitLocker/lock; écarts patch possibles,|P-012;P-016;P-017|,Demander reporting patch prestataire,Collecte preuves,2025-12-13,Clôturé
2025-12-13,10:00,11:00,terrain,Console EDR : couverture + alertes,Prestataire IT; Équipe audit,Couverture confirmée; alertes à analyser,|P-014;P-015|,Synthèse posture endpoint,Expert technique,2025-12-18,Clôturé
2025-12-14,14:00,16:00,terrain,Réseau : Wi‑Fi invité/interne, règles pare‑feu,NOC/IT; Équipe audit,Exports config; risque segmentation à qualifier,|P-018;P-019;P-020;P-021|,Préparer constat réseau si iso invité insuffisant,Risques,2025-12-22,Clôturé
2025-12-15,10:00,11:30,terrain,Sauvegardes : logs + offsite,Prestataire IT; Équipe audit,Logs 30j collectés; offsite documenté,|P-023;P-024|,Planifier test restauration + PV,Chef d’équipe,2025-12-18,Clôturé
2025-12-18,09:00,10:00,terrain,Test restauration (preuve),Prestataire IT; Équipe audit,Test OK; PV rédigé + artefact anonymisé,|P-025;P-026|,Mettre à jour analyse risque sauvegardes,Risques,2025-12-20,Clôturé
2025-12-16,14:00,15:30,terrain,Incidents : procédure + préparation exercice,Direction; IT; Équipe audit,Procédure fournie; exercice planifié,P-027,Conduire table-top ransomware,Chef d’équipe,2025-12-19,Clôturé
2025-12-19,10:00,11:00,terrain,Exercice table-top ransomware,Direction; IT; Équipe audit,Améliorations identifiées (contacts, décision CNIL, communication),P-028,Formaliser actions + priorités P1/P2,Analyste conformité,2025-12-22,Clôturé
2025-12-22,09:00,11:30,analyse,Synthèse constats + cotation risques,Équipe audit,Constats consolidés; criticités validées,,Rédiger rapport + plan d’actions,Chef d’équipe,2025-12-29,Clôturé
2025-12-29,09:00,12:00,rapport,Rédaction rapport (ES + constats + actions),Équipe audit,Version 0.9 prête pour relecture,,Relecture croisée + corrections,Chef d’équipe,2026-01-03,Clôturé
2026-01-03,10:00,11:00,rapport,Réunion clôture (validation factuelle),Direction; Équipe audit,Accord factuel sur constats + plan d’actions,,Finaliser support PPT + executive summary,Chef d’équipe,2026-01-05,Clôturé
2026-01-05,10:00,10:20,rapport,Restitution orale (15–20 min),Direction; Équipe audit,Restitution effectuée; décisions de priorisation actées,,Envoyer rapport final + support,Chef d’équipe,2026-01-05,Clôturé

