ID,Axe,Thème,Critères (ISO/RGPD/ANSSI),Objectif de contrôle,Procédures d'audit (non intrusives),Preuves attendues,Interlocuteurs,Échantillonnage,Statut,Commentaires
A-01,Gouvernance SSI,Organisation / responsabilités,ISO27001-5 Leadership; ISO27002-5.2/5.3,Confirmer responsabilités SSI et pilotage minimal,"Entretien direction+référent SI; revue organigramme; vérif existence rôles (RSSI/IT/prestataire)",Organigramme; RACI/fiche de rôle; compte-rendus réunions,Direction; Référent SI; Prestataire,NA,À faire,
A-02,Gouvernance SSI,Politiques & procédures,ISO27001-7/8/9; ISO27002-5.1/5.36,Évaluer cadre documentaire (politiques clés),Revue documentaire + questions de mise en pratique,Politiques (mots de passe, accès, sauvegardes, incidents); procédures,Direction; Référent SI,NA,À faire,
A-03,Inventaire & actifs,Inventaire matériels/logiciels,ISO27002-5.9/5.10,Valider visibilité sur actifs et responsabilités,"Revue inventaire; observation parc; rapprochement licences",Inventaire; liste postes; liste logiciels; contrats,IT/Prestataire; Accueil,5-10 postes,À faire,
A-04,Accès & identités,Comptes utilisateurs,ISO27002-5.15/5.16/5.18; RGPD-32,Limiter accès au besoin et tracer,"Revue gestion entrées/sorties; revue comptes; entretiens; vérif comptes partagés",Liste comptes; procédure onboarding/offboarding; preuves suppression comptes,IT/Prestataire; RH/Direction,3 comptes récents + 3 comptes anciens,À faire,
A-05,Accès & identités,Authentification/MFA/mots de passe,ANSSI-mots-de-passe; ISO27002-5.17,Réduire risque compromission,"Revue politique; observation paramètres (sans exploitation); entretien sur MFA; contrôle complexité/rotation si applicable",Politique mdp; captures paramètres; preuve MFA (admin/boîte mail),IT/Prestataire,2 postes + 2 services (mail/app),À faire,
A-06,Accès & identités,Droits applicatifs (MedSimple),ISO27002-5.18; RGPD-25/32,Éviter droits excessifs sur données santé,Revue profils/rôles applicatifs + test fonctionnel en lecture,Exports rôles; matrice droits; capture configuration,Responsable applicatif; Médecin; Accueil,3 profils (accueil/médecin/admin),À faire,
A-07,Postes & sécurité,Correctifs / mises à jour,ANSSI-hygiene; ISO27002-8.8,Limiter vulnérabilités connues,"Observation versions OS; revue gestion patch; entretien; vérif auto-update",Captures Windows Update; politique patch; rapports outil/antivirus,IT/Prestataire,3 postes,À faire,
A-08,Postes & sécurité,Antimalware/EDR,ISO27002-8.7,Détecter/empêcher malware,"Vérif présence agent; revue politique; entretien sur alerting",Console AV/EDR (captures); logs alertes,IT/Prestataire,3 postes,À faire,
A-09,Réseau,Séparation / Wi‑Fi,ISO27002-8.20/8.21,Limiter propagation et accès non autorisé,"Observation routeur/switch/Wi‑Fi; vérif SSID; chiffrement; réseau invité",Captures config Wi‑Fi; plan IP; règles firewall (lecture),IT/Prestataire,NA,À faire,
A-10,Réseau,Filtrage / pare-feu,ISO27002-8.22,Limiter exposition Internet,"Revue règles firewall (lecture); entretien sur ports; inventaire services exposés",Exports règles; documentation; preuves absence port critique,IT/Prestataire,NA,À faire,
A-11,Sauvegardes,Stratégie & 3-2-1,ANSSI-sauvegardes; ISO27002-8.13,Assurer restauration après incident,"Revue politique; inventaire supports; fréquence; rétention; offsite; chiffrement",Plan sauvegarde; logs tâches; localisation supports; preuve offsite,IT/Prestataire; Direction,1 mois d'historique,À faire,
A-12,Sauvegardes,Tests de restauration,ISO27002-8.13,Valider efficacité des sauvegardes,"Demander preuve test récent; sinon exiger test encadré (si autorisé) ou simulation documentaire",PV test; captures; fichier restauré (anonymisé),IT/Prestataire,1 test,À faire,
A-13,Journaux & supervision,Logs,ISO27002-8.15/8.16,Permettre investigation incident,"Revue sources de logs; conservation; accès; alerting",Politique logs; captures SIEM/Windows event; durée rétention,IT/Prestataire,NA,À faire,
A-14,Incidents,Processus de réponse,ISO27002-5.24/5.25; RGPD-33/34,Réagir vite et notifier si nécessaire,"Revue procédure; rôles; exercice table-top ransomware",Procédure incident; arbre d'appel; PV exercice,Direction; IT; DPO (si existe),1 scénario,À faire,
A-15,Continuité,PCA/PRA minimal,ISO27002-5.30/5.31,Maintenir soins essentiels,"Entretien; revue procédures; identification applications critiques",Liste services critiques; procédure papier; RTO/RPO,Direction; Métiers,NA,À faire,
A-16,RH & sensibilisation,Formation phishing,ISO27002-6.3; ANSSI,Réduire compromission identifiants,"Revue supports; preuve session; questionnaire court",Support formation; feuille présence; quiz,Direction; Personnel,5 personnes,À faire,
A-17,Fournisseurs,Contrats / sous-traitants,ISO27002-5.19/5.20/5.21; RGPD-28,Assurer clauses sécurité et responsabilité,"Revue contrats prestataire IT/éditeur/hébergeur; DPA; attestations",Contrats; DPA; attestations HDS (si applicable),Direction; Achats/IT,2-3 contrats,À faire,
A-18,RGPD,Registre & DPIA,RGPD-30/35,Traçabilité traitements et risques,"Revue registre; vérifier existence DPIA si nécessaire; base légale; durées",Registre traitements; DPIA (si requis); mentions info,Direction; DPO,NA,À faire,
A-19,RGPD,Droits personnes & violations,RGPD-12 à 23; 33/34,Capacité à répondre aux demandes et incidents,"Revue procédure droits; délais; modèles; journal demandes",Procédure; modèles réponse; registre demandes,Direction; DPO,3 cas fictifs,À faire,
A-20,Clôture,Validation constats & restitution,ISO19011 (bonnes pratiques),Aligner compréhension et plan d’actions,"Réunion de clôture; validation factuelle; arbitrage priorités",Compte-rendu; plan actions validé; décisions,Direction; IT; Métiers,NA,À faire,

